ADBE,거래소,기호,멕시코,부문,산업,소프트웨어와 프로그래밍,어도비 시스템즈,종목,테크놀로지
,심천,300343,,기초 소재,화학제조,,,Lecron Energy Saving Materials,
,심천,687,,기초 소재,화학 제품 – 플라스틱과 고무,,,Swan Fiber,
,심천,2859,,기초 소재,조립식 플라스틱과 고무,,,Zhejiang Jiemei Electronic,
,심천,969,,기초 소재,금속 광업,,,Advanced A,
,상하이,600765,,기초 소재,다종 조립 제품,,,AVIC Heavy Machinery,
,심천,615,,기초 소재,화학 제품 – 플라스틱과 고무,,,Hubei Golden Ring,
,심천,2064,,기초 소재,화학 제품 – 플라스틱과 고무,,,Huafon Spandex A,
,심천,2588,,기초 소재,화학제조,,,Stanley Fertlizr A,
,상하이,600595,,기초 소재,금속 광업,,,Henan Zhongfu Industrial,
,심천,2409,,기초 소재,화학제조,,,Yoke Technology A,
,심천,2756,,기초 소재,다종 조립 제품,,,Yongxing Special Stainless Steel,
,심천,603,,기초 소재,금속 광업,,,Shengda Mining A,
,심천,300221,,기초 소재,화학 제품 – 플라스틱과 고무,,,Guangdong Silvere Sci and Tech,
,심천,2585,,기초 소재,조립식 플라스틱과 고무,,,Shuangxing Matrl A,
,상하이,603058,,기초 소재,컨테이너와 포장,,,Yongji Printing,
,심천,2378,,기초 소재,금속 광업,,,Zy Tungsten A,
,상하이,603188,,기초 소재,화학제조,,,Jiangsu Yabang Dyestuff,
,심천,2562,,기초 소재,화학제조,,,Brother Enterpri A,
,상하이,601677,,기초 소재,금속 광업,,,Henan Mingtai Al.Industrial,
,심천,2333,,기초 소재,금속 광업,,,Lopsking Alum A,
,상하이,600966,,기초 소재,종이와 종이 제품,,,Shandong Bohui Paper,
,심천,2326,,기초 소재,화학제조,,,Yongtai Tech A,
,심천,300174,,기초 소재,화학제조,,,Fujian Yuanli Active Carbon,
,상하이,600200,,기초 소재,금속 광업,,,Jiangsu Wuzhong,
,상하이,600531,,기초 소재,금속 광업,,,Henan Yuguang Gold & Lead,
,심천,2254,,기초 소재,화학 제품 – 플라스틱과 고무,,,Yantai Tayho A,
,심천,300185,,기초 소재,다종 조립 제품,,,Tongyu Heavy Industry,
,심천,2423,,기초 소재,다종 조립 제품,,,Zy Special Steel A,
,상하이,603599,,기초 소재,화학제조,,,Anhui Guangxin Agrochemical,
,상하이,600399,,기초 소재,철과 철강,,,Fushun Special Steel,
,심천,2171,,기초 소재,금속 광업,,,Anhui Jingcheng Copper Share Co Ltd,
,상하이,603626,,기초 소재,철과 철강,,,Kunshan Kersen Science,
,심천,2215,,기초 소재,화학제조,,,Noposion Agro A,
,심천,626,,기초 소재,조립식 플라스틱과 고무,,,Ideal Group A,
,상하이,600210,,기초 소재,컨테이너와 포장,,,Shanghai Zijiang,
,상하이,600114,,기초 소재,다종 조립 제품,,,NBTM New Materials,
,심천,2694,,기초 소재,조립식 플라스틱과 고무,,,Goody Science Tech,
,심천,300109,,기초 소재,화학제조,,,Boai NKY Pharmaceuticals Ltd,
,상하이,601388,,기초 소재,금속 광업,,,Ye Chiu Metal Recycling,
,상하이,603737,,기초 소재,화학제조,,,Skshu Paint,
,심천,2141,,기초 소재,다종 조립 제품,,,Guangdong Ronsen A,
,상하이,600308,,기초 소재,종이와 종이 제품,,,Shandong Huatai Paper,
,상하이,603848,,기초 소재,조립식 플라스틱과 고무,,,Guangdong Hotata A,
,상하이,603978,,기초 소재,금속 광업,,,Shenzhen Sunxing Light Alloys,
,심천,2464,,기초 소재,조립식 플라스틱과 고무,,,Kee Ever Bright Decorative,
,심천,762,,기초 소재,금속 광업,,,Tibet Mineral A,
,심천,300487,,기초 소재,화학 제품 – 플라스틱과 고무,,,Xian Sunresin New Materials Co Ltd,
,심천,657,,기초 소재,화학제조,,,Tungsten A,
,심천,822,,기초 소재,화학제조,,,Sd Haihua A,
,상하이,600075,,기초 소재,화학제조,,,Xinjiang Tianye,
,심천,652,,기초 소재,화학제조,,,Teda A,
,심천,300252,,기초 소재,다종 조립 제품,,,Kingsignal Tech,
,심천,300236,,기초 소재,화학제조,,,Shanghai Sinyang Semiconductor,
,심천,300043,,기초 소재,화학 제품 – 플라스틱과 고무,,,Rastar Group,
,상하이,600458,,기초 소재,조립식 플라스틱과 고무,,,Zhuzhou Times Tech,
,심천,936,,기초 소재,화학 제품 – 플라스틱과 고무,,,Huaxicun A,
,심천,2752,,기초 소재,컨테이너와 포장,,,ShengXing Group,
,심천,2068,,기초 소재,화학제조,,,Jiangxi Black Cat Carbon Black,
,심천,2246,,기초 소재,화학 제품 – 플라스틱과 고무,,,Sc Nitrocell A,
,상하이,601002,,기초 소재,다종 조립 제품,,,Gem-Year Industrial,
,심천,2692,,기초 소재,다종 조립 제품,,,Yuancheng Cable A,
,상하이,603308,,기초 소재,다종 조립 제품,,,Yingliu Electr,
,상하이,601137,,기초 소재,금속 광업,,,Ningbo Boway Alloy Material,
,심천,2496,,기초 소재,화학제조,,,Huifeng Agrochem A,
,심천,2067,,기초 소재,종이와 종이 제품,,,Jingxing Paper A,
,상하이,600481,,기초 소재,화학제조,,,Shuangliang Eco-Energy,
,상하이,600103,,기초 소재,컨테이너와 포장,,,Fujian Qingshan Paper,
,상하이,600636,,기초 소재,화학제조,,,Shanghai 3F,
,심천,751,,기초 소재,금속 광업,,,Huludao Zinc A,
,상하이,600063,,기초 소재,화학 제품 – 플라스틱과 고무,,,Wanwei Hi-tech Industry,
,심천,2741,,기초 소재,화학제조,,,Guangdong Guanghua Sci-Tech,
,심천,300198,,기초 소재,조립식 플라스틱과 고무,,,Fujian Superpipe,
,심천,2768,,기초 소재,화학 제품 – 플라스틱과 고무,,,Qingdao Gon Technology Co Ltd,
,심천,2206,,기초 소재,화학 제품 – 플라스틱과 고무,,,Hailide A,
,상하이,600603,,기초 소재,금속 광업,,,Dazhou Xingye,
,심천,511,,기초 소재,화학제조,,,Ingenious Carbon A,
,심천,2631,,기초 소재,임업과 목재 제품,,,Der International Home Furnish A,
