Name,Symbol,Exchange,Code,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Yn Germanium A,2428,심천,s01,기초 소재,금속 광업,O,null,null
Yueyang Forest & Paper,600963,상하이,s01,기초 소재,종이와 종이 제품,O,null,null
Tongling Jingd,600577,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Cnnc Hua Yuan A,2145,심천,s01,기초 소재,화학제조,O,null,null
Lecron Energy Saving Materials,300343,심천,s01,기초 소재,화학제조,O,null,null
Swan Fiber,687,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Zhejiang Jiemei Electronic,2859,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Advanced A,969,심천,s01,기초 소재,금속 광업,O,null,null
AVIC Heavy Machinery,600765,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Hubei Golden Ring,615,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Huafon Spandex A,2064,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Stanley Fertlizr A,2588,심천,s01,기초 소재,화학제조,O,null,null
Henan Zhongfu Industrial,600595,상하이,s01,기초 소재,금속 광업,O,null,null
Yoke Technology A,2409,심천,s01,기초 소재,화학제조,O,null,null
Yongxing Special Stainless Steel,2756,심천,s01,기초 소재,다종 조립 제품,O,null,null
Shengda Mining A,603,심천,s01,기초 소재,금속 광업,O,null,null
Guangdong Silvere Sci and Tech,300221,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Shuangxing Matrl A,2585,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Yongji Printing,603058,상하이,s01,기초 소재,컨테이너와 포장,O,null,null
Zy Tungsten A,2378,심천,s01,기초 소재,금속 광업,O,null,null
Jiangsu Yabang Dyestuff,603188,상하이,s01,기초 소재,화학제조,O,null,null
Brother Enterpri A,2562,심천,s01,기초 소재,화학제조,O,null,null
Henan Mingtai Al.Industrial,601677,상하이,s01,기초 소재,금속 광업,O,null,null
Lopsking Alum A,2333,심천,s01,기초 소재,금속 광업,O,null,null
Shandong Bohui Paper,600966,상하이,s01,기초 소재,종이와 종이 제품,O,null,null
Yongtai Tech A,2326,심천,s01,기초 소재,화학제조,O,null,null
Fujian Yuanli Active Carbon,300174,심천,s01,기초 소재,화학제조,O,null,null
Jiangsu Wuzhong,600200,상하이,s01,기초 소재,금속 광업,O,null,null
Henan Yuguang Gold & Lead,600531,상하이,s01,기초 소재,금속 광업,O,null,null
Yantai Tayho A,2254,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Tongyu Heavy Industry,300185,심천,s01,기초 소재,다종 조립 제품,O,null,null
Zy Special Steel A,2423,심천,s01,기초 소재,다종 조립 제품,O,null,null
Anhui Guangxin Agrochemical,603599,상하이,s01,기초 소재,화학제조,O,null,null
Fushun Special Steel,600399,상하이,s01,기초 소재,철과 철강,O,null,null
Anhui Jingcheng Copper Share Co Ltd,2171,심천,s01,기초 소재,금속 광업,O,null,null
Kunshan Kersen Science,603626,상하이,s01,기초 소재,철과 철강,O,null,null
Noposion Agro A,2215,심천,s01,기초 소재,화학제조,O,null,null
Ideal Group A,626,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Shanghai Zijiang,600210,상하이,s01,기초 소재,컨테이너와 포장,O,null,null
NBTM New Materials,600114,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Goody Science Tech,2694,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Boai NKY Pharmaceuticals Ltd,300109,심천,s01,기초 소재,화학제조,O,null,null
Ye Chiu Metal Recycling,601388,상하이,s01,기초 소재,금속 광업,O,null,null
Skshu Paint,603737,상하이,s01,기초 소재,화학제조,O,null,null
Guangdong Ronsen A,2141,심천,s01,기초 소재,다종 조립 제품,O,null,null
Shandong Huatai Paper,600308,상하이,s01,기초 소재,종이와 종이 제품,O,null,null
Guangdong Hotata A,603848,상하이,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Shenzhen Sunxing Light Alloys,603978,상하이,s01,기초 소재,금속 광업,O,null,null
