Name,Symbol,Exchange,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Zhejiang XinAn Chemical,600596,상하이,기초 소재,화학제조,O,null,null
Henan Yinge Industrial Inv,600069,상하이,기초 소재,종이와 종이 제품,O,null,null
ZheJiang JiHua,603980,상하이,기초 소재,화학제조,O,null,null
Nuode Investment,600110,상하이,기초 소재,다종 조립 제품,O,null,null
Ningbo Yunsheng,600366,상하이,기초 소재,다종 조립 제품,O,null,null
Dragon Molybde,603399,상하이,기초 소재,다종 조립 제품,O,null,null
Chifeng Jilong Gold Mining,600988,상하이,기초 소재,금과 은,O,null,null
Hubei Xingfa Chemicals,600141,상하이,기초 소재,화학제조,O,null,null
Jiangmen Sugar A,576,심천,기초 소재,종이와 종이 제품,O,null,null
Jiaozuo Wanfang Aluminum,612,심천,기초 소재,금속 광업,O,null,null
Sichuan Chem A,155,심천,기초 소재,화학제조,O,null,null
Asia-Pacific Tech A,2540,심천,기초 소재,다종 조립 제품,O,null,null
Keshun Waterproof A,300737,심천,기초 소재,화학제조,O,null,null
Aucksun A,2245,심천,기초 소재,다종 조립 제품,O,null,null
Tibet Huayu Mining,601020,상하이,기초 소재,금속 광업,O,null,null
Jinhua Chemical A,818,심천,기초 소재,화학제조,O,null,null
BaoJi Titanium,600456,상하이,기초 소재,다종 조립 제품,O,null,null
Rainbow Fine Chemical Industry,2256,심천,기초 소재,화학제조,O,null,null
Unifull Fiber A,2427,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Hongda,600331,상하이,기초 소재,금속 광업,O,null,null
Jiangsu Youli Investment Holding,584,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
ShanXi Coking,600740,상하이,기초 소재,철과 철강,O,null,null
Yn Germanium A,2428,심천,기초 소재,금속 광업,O,null,null
Yueyang Forest & Paper,600963,상하이,기초 소재,종이와 종이 제품,O,null,null
Tongling Jingd,600577,상하이,기초 소재,다종 조립 제품,O,null,null
Cnnc Hua Yuan A,2145,심천,기초 소재,화학제조,O,null,null
Lecron Energy Saving Materials,300343,심천,기초 소재,화학제조,O,null,null
Swan Fiber,687,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Zhejiang Jiemei Electronic,2859,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Advanced A,969,심천,기초 소재,금속 광업,O,null,null
AVIC Heavy Machinery,600765,상하이,기초 소재,다종 조립 제품,O,null,null
Hubei Golden Ring,615,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Huafon Spandex A,2064,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Stanley Fertlizr A,2588,심천,기초 소재,화학제조,O,null,null
Henan Zhongfu Industrial,600595,상하이,기초 소재,금속 광업,O,null,null
Yoke Technology A,2409,심천,기초 소재,화학제조,O,null,null
Yongxing Special Stainless Steel,2756,심천,기초 소재,다종 조립 제품,O,null,null
Shengda Mining A,603,심천,기초 소재,금속 광업,O,null,null
Guangdong Silvere Sci and Tech,300221,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Shuangxing Matrl A,2585,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Yongji Printing,603058,상하이,기초 소재,컨테이너와 포장,O,null,null
Zy Tungsten A,2378,심천,기초 소재,금속 광업,O,null,null
Jiangsu Yabang Dyestuff,603188,상하이,기초 소재,화학제조,O,null,null
Brother Enterpri A,2562,심천,기초 소재,화학제조,O,null,null
Henan Mingtai Al.Industrial,601677,상하이,기초 소재,금속 광업,O,null,null
Lopsking Alum A,2333,심천,기초 소재,금속 광업,O,null,null
Shandong Bohui Paper,600966,상하이,기초 소재,종이와 종이 제품,O,null,null
Yongtai Tech A,2326,심천,기초 소재,화학제조,O,null,null
Fujian Yuanli Active Carbon,300174,심천,기초 소재,화학제조,O,null,null
Jiangsu Wuzhong,600200,상하이,기초 소재,금속 광업,O,null,null
Henan Yuguang Gold & Lead,600531,상하이,기초 소재,금속 광업,O,null,null
Yantai Tayho A,2254,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Tongyu Heavy Industry,300185,심천,기초 소재,다종 조립 제품,O,null,null
Zy Special Steel A,2423,심천,기초 소재,다종 조립 제품,O,null,null
Anhui Guangxin Agrochemical,603599,상하이,기초 소재,화학제조,O,null,null
Fushun Special Steel,600399,상하이,기초 소재,철과 철강,O,null,null
Anhui Jingcheng Copper Share Co Ltd,2171,심천,기초 소재,금속 광업,O,null,null
Kunshan Kersen Science,603626,상하이,기초 소재,철과 철강,O,null,null
Noposion Agro A,2215,심천,기초 소재,화학제조,O,null,null
Ideal Group A,626,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Shanghai Zijiang,600210,상하이,기초 소재,컨테이너와 포장,O,null,null
NBTM New Materials,600114,상하이,기초 소재,다종 조립 제품,O,null,null
